"Long","Lat","S_No_","USIN","State","District","Block_Mand","Village","CCE_Date","Target_Cro","QC_Status","Wet_Weight","Dry_Weight","Yield_kg_h","allahabad_10_oct_sm_30","allahabad_14_aug_sm_30","Allahabad_max_GS_30","Allahabad_max_VS_30","Allahabad_min_GS_30","Allahabad_min_VS_30","Allahabad_rf_GS_30","Allahabad_rf_VS_30","CCCI_Allahabad_30","CWSI_Allahabad_30","EVI_allahabad_20200930_30m","NDVI_allahabad_20200930_30m"
82.078185,25.013168,344,57295,"UTTAR PRADESH","Allahabad","Koraon","Baidvar Kalan","2020/11/22","Paddy - IR","Accepted",16.07,14.463,2892.6,0.332259565591812,0.329850226640701,33.147403717041,33.9729461669922,19.4492149353027,25.7690200805664,0.33366733789444,429.596527099609,0.485511869192123,0.310265362262726,0.597434341907501,0.639215707778931
82.073013,25.010357,345,57294,"UTTAR PRADESH","Allahabad","Koraon","pushpura kalan","2020/11/22","Paddy - IR","Accepted",18.52,16.668,3333.6,0.347697675228119,0.344682723283768,33.147403717041,33.9729461669922,19.4492149353027,25.7690200805664,0.33366733789444,429.596527099609,0.505586624145508,0.308055937290192,0.610983550548553,0.630619704723358
82.052092,25.011837,346,57293,"UTTAR PRADESH","Allahabad","Koraon","Tarav","2020/11/22","Paddy - IR","Accepted",18.89,17.001,3400.2,0.352008849382401,0.337523877620697,33.1773109436035,33.9658851623535,19.4494094848633,25.7681331634521,0.401676595211029,419.971008300781,0.510434806346893,0.643559992313385,0.634893000125885,0.6373690366745
82.045185,25.02817,347,57292,"UTTAR PRADESH","Allahabad","Koraon","Gheghasahi","2020/11/22","Paddy - IR","Accepted",12.3,11.07,2214,0.344539552927017,0.32216665148735,33.1914749145508,33.9665184020996,19.44899559021,25.769287109375,0.404494225978851,406.937377929688,0.526682078838348,0.619719803333282,0.633076429367065,0.655959188938141
82.035058,25.031857,348,57291,"UTTAR PRADESH","Allahabad","Koraon","Gaura","2020/11/22","Paddy - IR","Accepted",22.76,20.484,4096.8,0.337058007717133,0.345618844032288,33.2058181762695,33.9667816162109,19.4485778808594,25.7703552246094,0.402491480112076,394.658050537109,0.542988479137421,0.649180233478546,0.705153048038483,0.67657995223999
82.017905,25.045218,349,57290,"UTTAR PRADESH","Allahabad","Meja","Suhas","2020/11/22","Paddy - IR","Accepted",13.32,11.988,2397.6,0.335028976202011,0.338795721530914,33.2355422973633,33.9625930786133,19.4482440948486,25.7707557678223,0.422442495822906,379.451721191406,0.493240624666214,0.675822198390961,0.660474121570587,0.644963800907135
82.01357,25.069005,350,57289,"UTTAR PRADESH","Allahabad","Meja","Pathara","2020/11/22","Paddy - IR","Accepted",10,9,1800,0.325073331594467,0.342238038778305,33.234489440918,33.9698143005371,19.447208404541,25.7736892700195,0.345607399940491,365.272857666016,0.505915939807892,0.663634717464447,0.693446695804596,0.652645170688629
82.01274,25.088395,351,57288,"UTTAR PRADESH","Allahabad","Meja","Pathara","2020/11/22","Paddy - IR","Accepted",12.87,11.583,2316.6,0.337110549211502,0.346089750528336,33.2334365844727,33.9770317077637,19.4461727142334,25.7766208648682,0.268772304058075,351.093994140625,0.491264134645462,0.66518646478653,0.644874274730682,0.638170957565308
82.010183,25.099788,352,57287,"UTTAR PRADESH","Allahabad","Meja","Rauuni","2020/11/22","Paddy - IR","Accepted",9.115,8.2035,1640.7,0.339689522981644,0.284781694412231,33.23291015625,33.9806442260742,19.4456539154053,25.7780876159668,0.230354756116867,344.004577636719,0.510629594326019,0.555224239826202,0.695176422595978,0.646682679653168
82.094116,25.039996,353,57286,"UTTAR PRADESH","Allahabad","Koraon","Kosbhara Kala","2020/11/22","Paddy - IR","Accepted",17.32,15.588,3117.6,0.324817329645157,0.347813308238983,33.1150550842285,33.9901733398438,19.4480247497559,25.7735500335693,0.227385774254799,419.008728027344,0.51799613237381,0.588954448699951,0.636744439601898,0.650133669376373
82.084608,25.041747,354,57285,"UTTAR PRADESH","Allahabad","Koraon","Javain","2020/11/22","Paddy - IR","Accepted",14.56,13.104,2620.8,0.352940142154694,0.331669926643372,33.1290473937988,33.9911727905273,19.4476165771484,25.7747936248779,0.235023736953735,405.220794677734,0.493418097496033,0.386836647987366,0.663222312927246,0.651406526565552
82.083413,25.052476,355,57284,"UTTAR PRADESH","Allahabad","Koraon","Pasana","2020/11/22","Paddy - IR","Accepted",20.67,18.603,3720.6,0.343466341495514,0.348721981048584,33.1279144287109,33.9960708618164,19.447114944458,25.7765693664551,0.213477417826653,395.491333007812,0.500205814838409,0.432349681854248,0.657689392566681,0.653272092342377
82.071349,25.053336,356,57283,"UTTAR PRADESH","Allahabad","Koraon","bahiyari kala","2020/11/22","Paddy - IR","Accepted",16.42,14.778,2955.6,0.334088832139969,0.351465344429016,33.1432151794434,33.9918060302734,19.4472026824951,25.7759494781494,0.237841352820396,392.187164306641,0.506396293640137,0.236743316054344,0.6785569190979,0.67049366235733
82.066541,25.057858,357,57282,"UTTAR PRADESH","Allahabad","Koraon","bahiyari kala","2020/11/22","Paddy - IR","Accepted",25.95,23.355,4671,0.338531851768494,0.336951553821564,33.1585159301758,33.9875373840332,19.4472885131836,25.7753276824951,0.262205272912979,388.883026123047,0.48732802271843,0.507019400596619,0.761930882930756,0.696240603923798
